country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
Montenegro,2015,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,MNE,2.238704,3.531268,4052913385.82677,6514.27269528653,68.11958104,76.938,622159.0,102.688977351832,17.5440006256104,65.806
China,2015,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,CHN,9866.904318,7.079569,11064666282625.5,8069.21302389511,50.3,76.092,1371220000.0,39.45306552453,4.59999990463257,55.5
Zambia,2015,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,ZMB,5.064975,0.311725,21154394545.895,1313.88964550765,21.0,61.397,16100587.0,79.8651551332171,7.44600009918213,41.907
Romania,2015,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,ROU,77.996265,3.918213,177893451831.141,8977.49854425137,55.7632,75.0121951219512,19815481.0,82.6575055031815,6.81199979782104,53.887
Serbia,2015,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,SRB,43.777417,5.821855,37160332465.1645,5237.25533423136,65.3170254,75.2878048780488,7095383.0,103.100039525479,17.9209995269775,55.696
Portugal,2015,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,PRT,52.270289,5.042749,199420256049.689,19252.6349536042,68.6329,81.1243902439025,10358076.0,80.2229566172975,12.4440002441406,63.514
Latvia,2015,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,LVA,7.262099,3.645714,26972863393.6384,13639.6941197963,79.2006,74.4804878048781,1977527.0,121.347425305683,9.8730001449585,67.98
Philippines,2015,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,PHL,112.44915,1.091407,292774099013.687,2878.33837046494,53.7,68.951,101716359.0,62.690008771982,3.02600002288818,46.284
Somaliland region,2015,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,SOM,0.630208,0.045787,6659000748.05936,478.784799023604,1.76,55.876,13908129.0,76.2276620202721,14.4119997024536,43.245
Morocco,2015,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,MAR,58.495177,1.68669,101179808076.36,2863.88709856212,57.08,75.573,34803322.0,77.1980363378713,9.46000003814697,60.809
Macedonia,2015,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,MKD,7.020224,3.330337,10064515432.0265,4840.31967944456,70.3802,75.549,2079308.0,113.698443879103,26.068000793457,57.408
Mozambique,2015,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,MOZ,6.312897,0.235176,14798413628.4625,528.313051201145,16.93353299,57.714,28010691.0,104.206039545833,3.42600011825562,34.4
